RowNum,EVTYPE,mapEVTYPEjw10,mapEVTYPEosa10,adjustedEVTYPE,ManualAdjusted
62,AVALANCE,AVALANCHE,AVALANCHE,AVALANCHE,
98,AVALANCHE,AVALANCHE,AVALANCHE,AVALANCHE,
127,BLACK ICE,VOLCANIC ASH,AVALANCHE,BLACK ICE,Yes
43,BLIZZARD,BLIZZARD,BLIZZARD,BLIZZARD,
71,BLOWING SNOW,WINTER STORM,HEAVY SNOW,HEAVY SNOW,Yes
129,blowing snow,WINTER STORM,HEAVY SNOW,HEAVY SNOW,Yes
165,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
122,Coastal Flooding,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
151,COASTAL FLOODING,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
108,COASTAL STORM,DUST STORM,COASTAL FLOOD,COASTAL FLOOD,Yes
128,COASTALSTORM,TROPICAL STORM,COASTAL FLOOD,COASTAL FLOOD,Yes
10,COLD,COLD/WIND CHILL,FLOOD,COLD/WIND CHILL,
120,Cold,COLD/WIND CHILL,FLOOD,COLD/WIND CHILL,
123,COLD AND SNOW,TORNADO,HEAVY SNOW,HEAVY SNOW,Yes
121,Cold Temperature,ICE STORM,NA,COLD/WIND CHILL,Yes
59,COLD WAVE,COLD/WIND CHILL,WILDFIRE,COLD/WIND CHILL,
85,COLD WEATHER,HEAT,WINTER WEATHER ,WINTER WEATHER ,Yes
162,COLD/WIND CHILL,COLD/WIND CHILL,COLD/WIND CHILL,COLD/WIND CHILL,
82,COLD/WINDS,COLD/WIND CHILL,COLD/WIND CHILL,COLD/WIND CHILL,
6,DENSE FOG,DENSE FOG,DENSE FOG,DENSE FOG,
96,DROUGHT/EXCESSIVE HEAT,DROUGHT,EXCESSIVE HEAT,EXCESSIVE HEAT,Yes
153,DROWNING,STRONG WIND,DROUGHT,DROWNING,Yes
106,DRY MICROBURST,RIP CURRENT,DROUGHT,STRONG WIND,Yes
159,DUST DEVIL,DUST DEVIL,DUST DEVIL,DUST DEVIL,
19,DUST STORM,DUST STORM,DUST STORM,DUST STORM,
22,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
89,EXCESSIVE RAINFALL,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
113,Extended Cold,EXTREME COLD/WIND CHILL,DENSE FOG,EXTREME COLD/WIND CHILL,
14,EXTREME COLD,EXTREME COLD/WIND CHILL,FUNNEL CLOUD,EXTREME COLD/WIND CHILL,
111,Extreme Cold,EXTREME COLD/WIND CHILL,FUNNEL CLOUD,EXTREME COLD/WIND CHILL,
154,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
55,EXTREME HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
114,EXTREME WINDCHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
150,FALLING SNOW/ICE,MARINE STRONG WIND,NA,ICE STORM,Yes
13,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
88,FLASH FLOOD/FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
47,FLASH FLOODING,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
90,FLASH FLOODING/FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
100,FLASH FLOODS,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
21,FLOOD,FLOOD,FLOOD,FLOOD,
99,FLOOD & HEAVY RAIN,FLOOD,HEAVY RAIN,HEAVY RAIN,Yes
30,FLOOD/FLASH FLOOD,FLOOD,FLASH FLOOD,FLASH FLOOD,Yes
60,FLOOD/RIVER FLOOD,FLOOD,FLASH FLOOD,FLASH FLOOD,Yes
11,FLOODING,FLOOD,FLOOD,FLOOD,
49,FOG,FLOOD,FLOOD,DENSE FOG,Yes
65,FOG AND COLD TEMPERATURES,FLOOD,NA,FREEZING FOG,Yes
56,FREEZE,FREEZING FOG,SLEET,FROST/FREEZE,Yes
130,FREEZING DRIZZLE,FREEZING FOG,FREEZING FOG,FROST/FREEZE,Yes
48,FREEZING RAIN,FREEZING FOG,FREEZING FOG,FROST/FREEZE,Yes
44,FREEZING RAIN/SNOW,FREEZING FOG,FREEZING FOG,FROST/FREEZE,Yes
117,Freezing Spray,FREEZING FOG,FREEZING FOG,FROST/FREEZE,Yes
131,FROST,FROST/FREEZE,FLOOD,FROST/FREEZE,
91,GLAZE,LAKESHORE FLOOD,FLOOD,SLEET,Yes
143,GUSTY WIND,HIGH WIND,HIGH WIND,HIGH WIND,
23,GUSTY WINDS,HIGH WIND,HIGH WIND,HIGH WIND,
3,HAIL,HAIL,HAIL,HAIL,
8,HEAT,HEAT,HEAT,HEAT,
33,HEAT WAVE,HEAT,HEAT,HEAT,
73,HEAT WAVE DROUGHT,HEAT,DROUGHT,DROUGHT,Yes
74,HEAT WAVES,HEAT,HEAT,HEAT,
12,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
97,HEAVY SEAS,HEAVY RAIN,HEAVY SNOW,HIGH SURF,Yes
31,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
63,HEAVY SNOW AND HIGH WINDS,HEAVY SNOW,NA,HEAVY SNOW,
66,HEAVY SURF,HEAVY RAIN,HEAVY SNOW,HIGH SURF,Yes
105,Heavy Surf,HEAVY RAIN,HEAVY SNOW,HIGH SURF,Yes
135,Heavy surf and wind,HEAVY RAIN,HEAVY RAIN,HIGH SURF,Yes
157,HEAVY SURF/HIGH SURF,HEAVY RAIN,NA,HIGH SURF,Yes
18,HIGH SEAS,HIGH SURF,HIGH SURF,HIGH SURF,
25,HIGH SURF,HIGH SURF,HIGH SURF,HIGH SURF,
110,High Surf,HIGH SURF,HIGH SURF,HIGH SURF,
137,HIGH SWELLS,HIGH SURF,HIGH SURF,HIGH SURF,
147,HIGH WATER,HIGH SURF,HIGH WIND,HIGH SURF,
