RowNum,EVTYPE,mapEVTYPEjw10,mapEVTYPEosa10,adjustedEVTYPE,ManualAdjusted
1,TORNADO,TORNADO,TORNADO,TORNADO,FALSE
2,TSTM WIND,HIGH WIND,HIGH WIND,THUNDERSTORM WIND,TRUE
3,HAIL,HAIL,HAIL,HAIL,FALSE
4,ICE STORM/FLASH FLOOD,ICE STORM,FLASH FLOOD,ICE STORM,FALSE
5,DENSE FOG,DENSE FOG,DENSE FOG,DENSE FOG,FALSE
6,THUNDERSTORM WINDS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
7,LIGHTNING,LIGHTNING,LIGHTNING,LIGHTNING,FALSE
8,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,FALSE
9,HIGH WIND,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
10,MARINE MISHAP,MARINE HAIL,MARINE HAIL,MARINE MISHAP,TRUE
11,HIGH SEAS,HIGH SURF,HIGH SURF,HIGH SURF,FALSE
12,HIGH WINDS,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
13,DUST STORM,DUST STORM,DUST STORM,DUST STORM,FALSE
14,FLOOD,FLOOD,FLOOD,FLOOD,FALSE
15,THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
16,WINTER STORM,WINTER STORM,WINTER STORM,WINTER STORM,FALSE
17,WILD FIRES,WILDFIRE,WILDFIRE,WILDFIRE,FALSE
18,HIGH,HIGH SURF,HAIL,HAIL,FALSE
19,WINTER STORM HIGH WINDS,WINTER STORM,NA,THUNDERSTORM WIND,FALSE
20,WINTER STORMS,WINTER STORM,WINTER STORM,WINTER STORM,FALSE
21,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FALSE
22,FLOODING,FLOOD,FLOOD,FLOOD,FALSE
23,FUNNEL CLOUD,FUNNEL CLOUD,FUNNEL CLOUD,FUNNEL CLOUD,FALSE
24,HIGH SURF,HIGH SURF,HIGH SURF,HIGH SURF,FALSE
25,STRONG WIND,STRONG WIND,STRONG WIND,STRONG WIND,FALSE
26,RIP CURRENT,RIP CURRENT,RIP CURRENT,RIP CURRENT,FALSE
27,DRY MIRCOBURST WINDS,MARINE THUNDERSTORM WIND,NA,STRONG WIND,TRUE
28,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,FALSE
29,DRY MICROBURST,RIP CURRENT,DROUGHT,STRONG WIND,TRUE
30,THUNDERSTORM WINDSS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
31,BLIZZARD,BLIZZARD,BLIZZARD,BLIZZARD,FALSE
32,WATERSPOUT TORNADO,WATERSPOUT,WATERSPOUT,WATERSPOUT,FALSE
33,WATERSPOUT/TORNADO,WATERSPOUT,WATERSPOUT,WATERSPOUT,FALSE
34,STORM SURGE,STORM SURGE/TIDE,STORM SURGE/TIDE,STORM SURGE/TIDE,FALSE
35,WATERSPOUT,WATERSPOUT,WATERSPOUT,WATERSPOUT,FALSE
36,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,FALSE
37,TROPICAL STORM GORDON,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,FALSE
38,HURRICANE ERIN,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),FALSE
39,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
40,LIGHTNING INJURY,LIGHTNING,LIGHTNING,LIGHTNING,FALSE
41,LIGHTNING AND THUNDERSTORM WIN,LIGHTNING,NA,LIGHTNING,FALSE
42,AVALANCHE,AVALANCHE,AVALANCHE,AVALANCHE,FALSE
43,THUNDERSTORM WINDS 13,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
44,WIND,WILDFIRE,FLOOD,STRONG WIND,TRUE
45,FLASH FLOODING,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FALSE
46,SNOW,STRONG WIND,FLOOD,HEAVY SNOW,TRUE
47,THUNDERSNOW,THUNDERSTORM WIND,HEAVY SNOW,HEAVY SNOW,TRUE
48,HEAT,HEAT,HEAT,HEAT,FALSE
49,COLD,COLD/WIND CHILL,FLOOD,COLD/WIND CHILL,FALSE
50,HEAT WAVE,HEAT,HEAT,HEAT,FALSE
51,RIVER FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FALSE
52,EXTREME HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,FALSE
53,WINDS,WINTER STORM,FLOOD,STRONG WIND,TRUE
54,FOG,FLOOD,FLOOD,DENSE FOG,TRUE
55,WINTER WEATHER,WINTER WEATHER ,WINTER WEATHER ,WINTER WEATHER ,FALSE
56,HURRICANE-GENERATED SWELLS,HURRICANE (TYPHOON),NA,HURRICANE (TYPHOON),FALSE
57,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,FALSE
58,ICE STORM,ICE STORM,ICE STORM,ICE STORM,FALSE
59,TORNADO F3,TORNADO,TORNADO,TORNADO,FALSE
60,HURRICANE OPAL,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),FALSE
61,EXTREME COLD,EXTREME COLD/WIND CHILL,FUNNEL CLOUD,EXTREME COLD/WIND CHILL,FALSE
62,GLAZE/ICE STORM,ICE STORM,ICE STORM,SLEET,TRUE
63,SNOW AND ICE,STRONG WIND,WILDFIRE,HEAVY SNOW,TRUE
64,FLOOD/FLASH FLOOD,FLOOD,FLASH FLOOD,FLASH FLOOD,TRUE
65,FOG AND COLD TEMPERATURES,FLOOD,NA,FREEZING FOG,TRUE
66,DUST DEVIL,DUST DEVIL,DUST DEVIL,DUST DEVIL,FALSE
67,ICY ROADS,TROPICAL DEPRESSION,ICE STORM,ICE STORM,TRUE
68,RECORD HEAT,SEICHE,HEAT,EXCESSIVE HEAT,TRUE
69,TORNADO F2,TORNADO,TORNADO,TORNADO,FALSE
70,RIP CURRENTS,RIP CURRENT,RIP CURRENT,RIP CURRENT,FALSE
71,HURRICANE EMILY,HURRICANE (TYPHOON),MARINE HAIL,HURRICANE (TYPHOON),FALSE
72,THUNDERSTORM,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
73,BLOWING SNOW,WINTER STORM,HEAVY SNOW,HEAVY SNOW,TRUE
74,FREEZING RAIN,FREEZING FOG,FREEZING FOG,FROST/FREEZE,TRUE
75,HIGH WIND/HEAVY SNOW,HIGH WIND,HEAVY SNOW,HIGH WIND,FALSE
76,ICE,ICE STORM,SEICHE,ICE STORM,FALSE
77,HEAT WAVE DROUGHT,HEAT,DROUGHT,EXCESSIVE HEAT,TRUE
78,HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW,NA,HEAVY SNOW,FALSE
79,HIGH WINDS/COLD,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
80,HEAVY RAINS,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,FALSE
81,HEAVY SNOW/ICE,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,FALSE
82,SNOW/HIGH WINDS,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
83,HIGH WINDS/SNOW,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
84,FREEZING DRIZZLE,FREEZING FOG,FREEZING FOG,FROST/FREEZE,TRUE
85,EXCESSIVE RAINFALL,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,FALSE
86,THUNDERSTORMW,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
87,GLAZE,LAKESHORE FLOOD,FLOOD,SLEET,TRUE
88,HIGH WIND AND SEAS,HIGH WIND,HIGH WIND,MARINE HIGH WIND,TRUE
89,THUNDERSTORM  WINDS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
90,HIGH WIND 48,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
91,THUNDERSTORMS WINDS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,FALSE
92,URBAN/SML STREAM FLD,COASTAL FLOOD,NA,COASTAL FLOOD,FALSE
93,WILD/FOREST FIRE,WILDFIRE,WILDFIRE,WILDFIRE,FALSE
94,Dust Devil,DUST DEVIL,DUST DEVIL,DUST DEVIL,FALSE
95,Marine Accident,MARINE HAIL,MARINE HAIL,MARINE HAIL,FALSE
96,High Surf,HIGH SURF,HIGH SURF,HIGH SURF,FALSE
97,Torrential Rainfall,TORNADO,NA,HEAVY RAIN,TRUE
98,Hurricane Edouard,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),FALSE
99,Coastal Storm,DUST STORM,COASTAL FLOOD,COASTAL FLOOD,TRUE
100,TIDAL FLOODING,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,FALSE
101,EXTREME WINDCHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,FALSE
102,Heavy snow shower,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,FALSE
103,ROUGH SURF,DROUGHT,HIGH SURF,HIGH SURF,TRUE
104,COASTAL STORM,DUST STORM,COASTAL FLOOD,COASTAL FLOOD,TRUE
105,MIXED PRECIP,TROPICAL DEPRESSION,WILDFIRE,HEAVY RAIN,TRUE
106,HURRICANE,HURRICANE (TYPHOON),SEICHE,HURRICANE (TYPHOON),FALSE
107,TSTM WIND/HAIL,MARINE HAIL,MARINE HAIL,THUNDERSTORM WIND,TRUE
108,Mudslide,DUST DEVIL,SEICHE,DEBRIS FLOW,TRUE
109,River Flooding,FLOOD,FLASH FLOOD,FLASH FLOOD,TRUE
110,Heat Wave,HEAT,HEAT,HEAT,FALSE
111,Snow,STRONG WIND,FLOOD,HEAVY SNOW,TRUE
112,HEAVY SURF,HEAVY RAIN,HEAVY SNOW,HIGH SURF,TRUE
113,RAIN/SNOW,MARINE STRONG WIND,HEAVY SNOW,HEAVY SNOW,TRUE
114,SNOW SQUALL,STORM SURGE/TIDE,HIGH SURF,STRONG WIND,TRUE
115,BLACK ICE,VOLCANIC ASH,AVALANCHE,BLACK ICE,TRUE
116,Gusty winds,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
117,blowing snow,WINTER STORM,HEAVY SNOW,HEAVY SNOW,TRUE
118,FROST,FROST/FREEZE,FLOOD,FROST/FREEZE,FALSE
119,GUSTY WINDS,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
120,Gusty Winds,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
121,STRONG WINDS,STRONG WIND,STRONG WIND,STRONG WIND,FALSE
122,TYPHOON,WATERSPOUT,FLOOD,HURRICANE (TYPHOON),TRUE
123,LANDSLIDES,FLASH FLOOD,SLEET,DEBRIS FLOW,TRUE
124,SMALL HAIL,MARINE HAIL,MARINE HAIL,HAIL,TRUE
125,COASTAL FLOODING/EROSION,COASTAL FLOOD,NA,COASTAL FLOOD,FALSE
126,TSTM WIND (G40),STRONG WIND,COLD/WIND CHILL,THUNDERSTORM WIND,TRUE
127,WINTRY MIX,WINTER STORM,WINTER STORM,WINTER STORM,FALSE
128,GUSTY WIND,HIGH WIND,HIGH WIND,HIGH WIND,FALSE
129,UNSEASONABLY WARM,DUST STORM,NA,HEAT,TRUE
130,EXCESSIVE SNOW,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,FALSE
131,ICE ROADS,ICE STORM,ICE STORM,ICE STORM,FALSE
132,ROUGH SEAS,DROUGHT,DROUGHT,HIGH SURF,TRUE
