,EVTYPE,mapEVTYPEjw10,mapEVTYPEosa10,adjustedEVTYPE,ManualAdjusted
362,   HIGH SURF ADVISORY,HIGH SURF,NA,HIGH SURF,
356, FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
350, TSTM WIND,HIGH WIND,HIGH WIND,THUNDERSTORM WIND,Yes
336, TSTM WIND (G45),STRONG WIND,NA,THUNDERSTORM WIND,Yes
275,?,ASTRONOMICAL LOW TIDE,HAIL,?,Yes
105,APACHE COUNTY,WATERSPOUT,WATERSPOUT,APACHE COUNTY,Yes
363,ASTRONOMICAL HIGH TIDE,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,
372,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,
98,AVALANCHE,AVALANCHE,AVALANCHE,AVALANCHE,
293,Beach Erosion,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
43,BLIZZARD,BLIZZARD,BLIZZARD,BLIZZARD,
193,BLIZZARD/WINTER STORM,BLIZZARD,WINTER STORM,BLIZZARD,
360,BLOWING DUST,WINTER STORM,BLIZZARD,DUST STORM,Yes
330,blowing snow,WINTER STORM,HEAVY SNOW,HEAVY SNOW,Yes
3,BREAKUP FLOODING,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
279,BRUSH FIRE,FROST/FREEZE,WILDFIRE,WILDFIRE,Yes
391,COASTAL  FLOODING/EROSION,COASTAL FLOOD,NA,COASTAL FLOOD,
339,COASTAL EROSION,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
73,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
129,Coastal Flood,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
60,COASTAL FLOODING,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
137,Coastal Flooding,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
377,COASTAL FLOODING/EROSION,COASTAL FLOOD,NA,COASTAL FLOOD,
298,Coastal Storm,DUST STORM,COASTAL FLOOD,DUST STORM,
222,COASTAL SURGE,COASTAL FLOOD,COASTAL FLOOD,STORM SURGE/TIDE,Yes
322,Cold,COLD/WIND CHILL,FLOOD,COLD/WIND CHILL,
342,COLD,COLD/WIND CHILL,FLOOD,COLD/WIND CHILL,
156,COLD AIR TORNADO,TROPICAL STORM,TORNADO,TORNADO,Yes
366,COLD/WIND CHILL,COLD/WIND CHILL,COLD/WIND CHILL,COLD/WIND CHILL,
328,DAM BREAK,HEAVY RAIN,HEAT,HEAVY RAIN,
389,DAMAGING FREEZE,FROST/FREEZE,FROST/FREEZE,FROST/FREEZE,
89,DENSE FOG,DENSE FOG,DENSE FOG,DENSE FOG,
373,DENSE SMOKE,DENSE SMOKE,DENSE SMOKE,DENSE SMOKE,
306,DOWNBURST,DROUGHT,DROUGHT,HEAVY RAIN,Yes
243,DROUGHT,DROUGHT,DROUGHT,DROUGHT,
146,DRY MICROBURST,RIP CURRENT,DROUGHT,THUNDERSTORM WIND,Yes
88,Dust Devil,DUST DEVIL,DUST DEVIL,DUST DEVIL,
106,DUST DEVIL,DUST DEVIL,DUST DEVIL,DUST DEVIL,
181,DUST DEVIL WATERSPOUT,DUST DEVIL,NA,DUST DEVIL,
84,DUST STORM,DUST STORM,DUST STORM,DUST STORM,
194,DUST STORM/HIGH WINDS,DUST STORM,NA,DUST STORM,
385,Erosion/Cstl Flood,COASTAL FLOOD,COASTAL FLOOD,COASTAL FLOOD,
177,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
308,EXCESSIVE SNOW,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
303,Extended Cold,EXTREME COLD/WIND CHILL,DENSE FOG,EXTREME COLD/WIND CHILL,
50,EXTREME COLD,EXTREME COLD/WIND CHILL,FUNNEL CLOUD,EXTREME COLD/WIND CHILL,
354,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
246,EXTREME HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
152,EXTREME WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
301,EXTREME WINDCHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
8,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
228,FLASH FLOOD - HEAVY RAIN,FLASH FLOOD,NA,FLASH FLOOD,
48,FLASH FLOOD FROM ICE JAMS,FLASH FLOOD,NA,FLASH FLOOD,
283,FLASH FLOOD LANDSLIDES,FLASH FLOOD,NA,FLASH FLOOD,
119,FLASH FLOOD/,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
229,FLASH FLOOD/ STREET,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
266,FLASH FLOOD/FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
281,FLASH FLOOD/LANDSLIDE,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
37,FLASH FLOODING,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
263,FLASH FLOODING/FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
95,FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD,NA,FLASH FLOOD,
202,FLASH FLOODS,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
20,FLOOD,FLOOD,FLOOD,FLOOD,
398,FLOOD & HEAVY RAIN,FLOOD,HEAVY RAIN,FLOOD,
245,FLOOD FLASH,FLOOD,FLASH FLOOD,FLOOD,
402,FLOOD/FLASH,FLOOD,FLOOD,FLOOD,
12,FLOOD/FLASH FLOOD,FLOOD,FLASH FLOOD,FLOOD,
309,FLOOD/FLASH/FLOOD,FLOOD,FLASH FLOOD,FLOOD,
76,FLOOD/FLASHFLOOD,FLOOD,FLASH FLOOD,FLOOD,
185,FLOOD/RIVER FLOOD,FLOOD,FLASH FLOOD,FLOOD,
17,FLOODING,FLOOD,FLOOD,FLOOD,
2,FLOODING/HEAVY RAIN,FLOOD,HEAVY RAIN,FLOOD,
52,FLOODS,FLOOD,FLOOD,FLOOD,
230,FOG,FLOOD,FLOOD,DENSE FOG,Yes
381,FOREST FIRES,FROST/FREEZE,FROST/FREEZE,WILDFIRE,Yes
97,FREEZE,FREEZING FOG,SLEET,SLEET,Yes
182,FREEZING DRIZZLE,FREEZING FOG,FREEZING FOG,FREEZING FOG,
312,Freezing Drizzle,FREEZING FOG,FREEZING FOG,FREEZING FOG,
334,Freezing drizzle,FREEZING FOG,FREEZING FOG,FREEZING FOG,
375,FREEZING FOG,FREEZING FOG,FREEZING FOG,FREEZING FOG,
65,FREEZING RAIN,FREEZING FOG,FREEZING FOG,SLEET,Yes
326,Freezing Rain,FREEZING FOG,FREEZING FOG,SLEET,Yes
154,FREEZING RAIN/SLEET,FREEZING FOG,FREEZING FOG,SLEET,Yes
201,FREEZING RAIN/SNOW,FREEZING FOG,FREEZING FOG,SLEET,Yes
331,FROST,FROST/FREEZE,FLOOD,FROST/FREEZE,
367,FROST/FREEZE,FROST/FREEZE,FROST/FREEZE,FROST/FREEZE,
405,Frost/Freeze,FROST/FREEZE,FROST/FREEZE,FROST/FREEZE,
196,FROST\FREEZE,FROST/FREEZE,FROST/FREEZE,FROST/FREEZE,
116,FUNNEL CLOUD,FUNNEL CLOUD,FUNNEL CLOUD,FUNNEL CLOUD,
188,GLAZE,LAKESHORE FLOOD,FLOOD,SLEET,Yes
302,Glaze,LAKESHORE FLOOD,FLOOD,SLEET,Yes
141,GLAZE ICE,LAKE-EFFECT SNOW,SEICHE,SLEET,Yes
189,gradient wind,THUNDERSTORM WIND,HIGH WIND,THUNDERSTORM WIND,
190,Gradient wind,THUNDERSTORM WIND,HIGH WIND,THUNDERSTORM WIND,
332,GRADIENT WIND,THUNDERSTORM WIND,HIGH WIND,THUNDERSTORM WIND,
165,GRASS FIRES,FROST/FREEZE,FLASH FLOOD,WILDFIRE,Yes
44,GROUND BLIZZARD,DROUGHT,BLIZZARD,BLIZZARD,Yes
150,GUSTNADO,TORNADO,TORNADO,TORNADO,
66,GUSTY WIND,HIGH WIND,HIGH WIND,HIGH WIND,
347,GUSTY WIND/HAIL,DUST DEVIL,DUST DEVIL,DUST DEVIL,
313,GUSTY WIND/HVY RAIN,DUST DEVIL,NA,DUST DEVIL,
133,Gusty wind/rain,STRONG WIND,DUST DEVIL,STRONG WIND,
108,GUSTY WINDS,HIGH WIND,HIGH WIND,HIGH WIND,
159,Gusty Winds,HIGH WIND,HIGH WIND,HIGH WIND,
11,HAIL,HAIL,HAIL,HAIL,
215,HAIL 0.75,HAIL,HAIL,HAIL,
198,HAIL 100,HAIL,HAIL,HAIL,
264,HAIL 175,HAIL,HAIL,HAIL,
265,HAIL 275,HAIL,HAIL,HAIL,
397,HAIL 450,HAIL,HAIL,HAIL,
248,HAIL 75,HAIL,HAIL,HAIL,
75,HAIL DAMAGE,HAIL,HAIL,HAIL,
167,HAIL/WIND,HAIL,HIGH WIND,HAIL,
162,HAIL/WINDS,HAIL,HIGH WIND,HAIL,
392,HAILSTORM,HAIL,ICE STORM,HAIL,
42,HEAT,HEAT,HEAT,HEAT,
200,HEAT WAVE,HEAT,HEAT,HEAT,
249,HEAT WAVE DROUGHT,HEAT,DROUGHT,HEAT,
179,HEAVY LAKE SNOW,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
209,HEAVY MIX,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
240,HEAVY PRECIPITATION,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
34,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
203,HEAVY RAIN AND FLOOD,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
382,Heavy Rain/High Surf,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
390,HEAVY RAIN/LIGHTNING,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
24,HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN,NA,HEAVY RAIN,
282,HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN,NA,HEAVY RAIN,
140,HEAVY RAIN/SNOW,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
64,HEAVY RAINS,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
61,HEAVY RAINS/FLOODING,HEAVY RAIN,HEAVY RAIN,HEAVY RAIN,
280,HEAVY SHOWER,HEAVY SNOW,HEAVY SNOW,HEAVY RAIN,Yes
18,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
388,HEAVY SNOW AND STRONG WINDS,HEAVY SNOW,NA,HEAVY SNOW,
305,Heavy snow shower,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
45,HEAVY SNOW SQUALLS,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
231,HEAVY SNOW/BLIZZARD,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
376,HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW,NA,HEAVY SNOW,
404,HEAVY SNOW/FREEZING RAIN,HEAVY SNOW,NA,HEAVY SNOW,
400,HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW,NA,HEAVY SNOW,
58,HEAVY SNOW/ICE,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
208,HEAVY SNOW/SQUALLS,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
104,HEAVY SNOW/WIND,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
191,HEAVY SNOW/WINTER STORM,HEAVY SNOW,NA,HEAVY SNOW,
394,HEAVY SNOWPACK,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
46,HEAVY SNOW-SQUALLS,HEAVY SNOW,HEAVY SNOW,HEAVY SNOW,
120,HEAVY SURF,HEAVY RAIN,HEAVY SNOW,HIGH SURF,Yes
288,Heavy Surf,HEAVY RAIN,HEAVY SNOW,HIGH SURF,Yes
109,HEAVY SURF COASTAL FLOODING,HEAT,NA,HIGH SURF,Yes
355,HEAVY SURF/HIGH SURF,HEAVY RAIN,NA,HIGH SURF,Yes
81,HEAVY SWELLS,HEAVY SNOW,HEAVY SNOW,HIGH SURF,Yes
143,HIGH  WINDS,HIGH WIND,HIGH WIND,HIGH WIND,
101,HIGH SEAS,HIGH SURF,HIGH SURF,HIGH SURF,
